,activation_type,min_proportion,Run,Active,Average Jailing Term,Jailed,Quiescent,width,height,citizen_density,cop_density,citizen_vision,cop_vision,legitimacy,max_jail_term,active_threshold,arrest_prob_constant,movement,max_iters
0,default,0.5,0,252,9.97635135135135,296,627,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
1,default,0.5,1,34,7.604895104895105,286,817,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
2,default,0.5,2,1,10.696969696969697,429,708,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
3,default,0.5,3,257,11.353741496598639,294,603,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
4,default,0.5,4,0,6.567226890756302,238,892,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
5,default,0.5,5,0,6.266355140186916,214,917,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
6,default,0.5,6,1,7.725563909774436,266,885,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
7,default,0.5,7,82,11.221052631578948,475,560,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
8,default,0.5,8,184,11.953929539295393,369,594,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
9,default,0.5,9,0,10.757437070938215,437,706,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
10,default,0.6,10,0,10.321428571428571,28,1086,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
11,default,0.6,11,0,11.06060606060606,462,649,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
12,default,0.6,12,278,11.544520547945206,292,560,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
13,default,0.6,13,0,7.678466076696165,339,808,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
14,default,0.6,14,0,9.066666666666666,30,1084,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
15,default,0.6,15,293,10.977777777777778,225,621,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
16,default,0.6,16,0,11.305555555555555,468,677,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
17,default,0.6,17,71,10.595652173913043,460,614,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
18,default,0.6,18,0,5.392156862745098,102,1021,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
19,default,0.6,19,0,11.548596112311015,463,661,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
20,default,0.7,20,0,6.536697247706422,218,906,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
21,default,0.7,21,77,11.31223628691983,474,595,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
22,default,0.7,22,405,14.186666666666667,75,676,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
23,default,0.7,23,0,7.6923076923076925,286,844,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
24,default,0.7,24,0,10.288372093023256,430,703,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
25,default,0.7,25,1,9.516129032258064,31,1086,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
26,default,0.7,26,0,6.188118811881188,202,919,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
27,default,0.7,27,135,12.313253012048193,415,601,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
28,default,0.7,28,7,10.656842105263157,475,662,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
29,default,0.7,29,144,12.395833333333334,384,629,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
30,default,0.7999999999999999,30,0,11.353467561521253,447,656,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
31,default,0.7999999999999999,31,0,10.733887733887734,481,670,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
32,default,0.7999999999999999,32,168,12.353689567430026,393,599,40,40,0.7,0.03,7,7,0.8,30,0.1,2.3,True,200
